"LEVEL_3_CO"	"SpecName"
"BZE"	"Agamia agami"
"BZN"	"Agamia agami"
"CLM"	"Agamia agami"
"COS"	"Agamia agami"
"ECU"	"Agamia agami"
"FRG"	"Agamia agami"
"GUA"	"Agamia agami"
"GUY"	"Agamia agami"
"HON"	"Agamia agami"
"MXC"	"Agamia agami"
"MXG"	"Agamia agami"
"MXS"	"Agamia agami"
"MXT"	"Agamia agami"
"NIC"	"Agamia agami"
"PAN"	"Agamia agami"
"PER"	"Agamia agami"
"SUR"	"Agamia agami"
"TRT"	"Agamia agami"
"VEN"	"Agamia agami"
"MDG"	"Agapornis canus"
"BUR"	"Agapornis fischeri"
"KEN"	"Agapornis fischeri"
"RWA"	"Agapornis fischeri"
"TAN"	"Agapornis fischeri"
"MLW"	"Agapornis lilianae"
"MOZ"	"Agapornis lilianae"
"TAN"	"Agapornis lilianae"
"ZAM"	"Agapornis lilianae"
"ZIM"	"Agapornis lilianae"
"BOT"	"Agapornis nigrigenis"
"CPV"	"Agapornis nigrigenis"
"ZAM"	"Agapornis nigrigenis"
"TAN"	"Agapornis personatus"
"ANG"	"Agapornis pullarius"
"BEN"	"Agapornis pullarius"
"BUR"	"Agapornis pullarius"
"CAB"	"Agapornis pullarius"
"CAF"	"Agapornis pullarius"
"CHA"	"Agapornis pullarius"
"CMN"	"Agapornis pullarius"
"CON"	"Agapornis pullarius"
"EQG"	"Agapornis pullarius"
"ETH"	"Agapornis pullarius"
"GAB"	"Agapornis pullarius"
"GGI"	"Agapornis pullarius"
"GHA"	"Agapornis pullarius"
"GUI"	"Agapornis pullarius"
"IVO"	"Agapornis pullarius"
"KEN"	"Agapornis pullarius"
"MLI"	"Agapornis pullarius"
"NGA"	"Agapornis pullarius"
"RWA"	"Agapornis pullarius"
"SIE"	"Agapornis pullarius"
"SUD"	"Agapornis pullarius"
"TAN"	"Agapornis pullarius"
"TOG"	"Agapornis pullarius"
"UGA"	"Agapornis pullarius"
"ZAI"	"Agapornis pullarius"
"ANG"	"Agapornis roseicollis"
"CPP"	"Agapornis roseicollis"
"NAM"	"Agapornis roseicollis"
"BUR"	"Agapornis swindernianus"
"CAF"	"Agapornis swindernianus"
"CMN"	"Agapornis swindernianus"
"CON"	"Agapornis swindernianus"
"EQG"	"Agapornis swindernianus"
"GAB"	"Agapornis swindernianus"
"GHA"	"Agapornis swindernianus"
"IVO"	"Agapornis swindernianus"
"LBR"	"Agapornis swindernianus"
"RWA"	"Agapornis swindernianus"
"UGA"	"Agapornis swindernianus"
"ZAI"	"Agapornis swindernianus"
"ERI"	"Agapornis taranta"
"ETH"	"Agapornis taranta"
"AGE"	"Agelaioides badius"
"AGS"	"Agelaioides badius"
"AGW"	"Agelaioides badius"
"BOL"	"Agelaioides badius"
"BZC"	"Agelaioides badius"
"BZE"	"Agelaioides badius"
"BZL"	"Agelaioides badius"
"BZS"	"Agelaioides badius"
"PAR"	"Agelaioides badius"
"URU"	"Agelaioides badius"
"CUB"	"Agelaius assimilis"
"CUB"	"Agelaius humeralis"
"HAI"	"Agelaius humeralis"
"ABT"	"Agelaius phoeniceus"
"ALA"	"Agelaius phoeniceus"
"ARI"	"Agelaius phoeniceus"
"ARK"	"Agelaius phoeniceus"
"ASK"	"Agelaius phoeniceus"
"BAH"	"Agelaius phoeniceus"
"BLZ"	"Agelaius phoeniceus"
"BRC"	"Agelaius phoeniceus"
"CAL"	"Agelaius phoeniceus"
"CNT"	"Agelaius phoeniceus"
"COL"	"Agelaius phoeniceus"
"COS"	"Agelaius phoeniceus"
"CUB"	"Agelaius phoeniceus"
"DEL"	"Agelaius phoeniceus"
"ELS"	"Agelaius phoeniceus"
"FLA"	"Agelaius phoeniceus"
"GEO"	"Agelaius phoeniceus"
"GUA"	"Agelaius phoeniceus"
"HON"	"Agelaius phoeniceus"
"IDA"	"Agelaius phoeniceus"
"ILL"	"Agelaius phoeniceus"
"INI"	"Agelaius phoeniceus"
"IOW"	"Agelaius phoeniceus"
"KAN"	"Agelaius phoeniceus"
"KTY"	"Agelaius phoeniceus"
"LOU"	"Agelaius phoeniceus"
"MAI"	"Agelaius phoeniceus"
"MAN"	"Agelaius phoeniceus"
"MAS"	"Agelaius phoeniceus"
"MIC"	"Agelaius phoeniceus"
"MIN"	"Agelaius phoeniceus"
"MNT"	"Agelaius phoeniceus"
"MRY"	"Agelaius phoeniceus"
"MSI"	"Agelaius phoeniceus"
"MSO"	"Agelaius phoeniceus"
"MXC"	"Agelaius phoeniceus"
"MXE"	"Agelaius phoeniceus"
"MXG"	"Agelaius phoeniceus"
"MXN"	"Agelaius phoeniceus"
"MXS"	"Agelaius phoeniceus"
"MXT"	"Agelaius phoeniceus"
"NBR"	"Agelaius phoeniceus"
"NCA"	"Agelaius phoeniceus"
"NDA"	"Agelaius phoeniceus"
"NEB"	"Agelaius phoeniceus"
"NEV"	"Agelaius phoeniceus"
"NFL"	"Agelaius phoeniceus"
"NIC"	"Agelaius phoeniceus"
"NSC"	"Agelaius phoeniceus"
"NUN"	"Agelaius phoeniceus"
"NWH"	"Agelaius phoeniceus"
"NWJ"	"Agelaius phoeniceus"
"NWM"	"Agelaius phoeniceus"
"NWY"	"Agelaius phoeniceus"
"OHI"	"Agelaius phoeniceus"
"OKL"	"Agelaius phoeniceus"
"ONT"	"Agelaius phoeniceus"
"ORE"	"Agelaius phoeniceus"
"PEI"	"Agelaius phoeniceus"
"PEN"	"Agelaius phoeniceus"
"QUE"	"Agelaius phoeniceus"
"RHO"	"Agelaius phoeniceus"
"SAS"	"Agelaius phoeniceus"
"SCA"	"Agelaius phoeniceus"
"SDA"	"Agelaius phoeniceus"
"TEN"	"Agelaius phoeniceus"
"TEX"	"Agelaius phoeniceus"
"UTA"	"Agelaius phoeniceus"
"VER"	"Agelaius phoeniceus"
"VRG"	"Agelaius phoeniceus"
"WAS"	"Agelaius phoeniceus"
"WDC"	"Agelaius phoeniceus"
"WIS"	"Agelaius phoeniceus"
"WVA"	"Agelaius phoeniceus"
"WYO"	"Agelaius phoeniceus"
"YUK"	"Agelaius phoeniceus"
"CAL"	"Agelaius tricolor"
"MXN"	"Agelaius tricolor"
"ORE"	"Agelaius tricolor"
"WAS"	"Agelaius tricolor"
"PUE"	"Agelaius xanthomus"
"GHA"	"Agelastes meleagrides"
"GUI"	"Agelastes meleagrides"
"IVO"	"Agelastes meleagrides"
"LBR"	"Agelastes meleagrides"
"SIE"	"Agelastes meleagrides"
"CAB"	"Agelastes niger"
"CAF"	"Agelastes niger"
"CMN"	"Agelastes niger"
"CON"	"Agelastes niger"
"EQG"	"Agelastes niger"
"GAB"	"Agelastes niger"
"NGA"	"Agelastes niger"
"ZAI"	"Agelastes niger"
"AGE"	"Agelasticus cyanopus"
"AGW"	"Agelasticus cyanopus"
"BOL"	"Agelasticus cyanopus"
"BZC"	"Agelasticus cyanopus"
"BZE"	"Agelasticus cyanopus"
"BZL"	"Agelasticus cyanopus"
"BZN"	"Agelasticus cyanopus"
"BZS"	"Agelasticus cyanopus"
"FRG"	"Agelasticus cyanopus"
"PAR"	"Agelasticus cyanopus"
"URU"	"Agelasticus cyanopus"
"AGE"	"Agelasticus thilius"
"AGS"	"Agelasticus thilius"
"AGW"	"Agelasticus thilius"
"BOL"	"Agelasticus thilius"
"BZS"	"Agelasticus thilius"
"CLC"	"Agelasticus thilius"
"CLN"	"Agelasticus thilius"
"CLS"	"Agelasticus thilius"
"PER"	"Agelasticus thilius"
"URU"	"Agelasticus thilius"
"PUE"	"Agelasticus xanthophthalmus"
"PER"	"Aglaeactis aliciae"
"PER"	"Aglaeactis castelnaudii"
"CLM"	"Aglaeactis cupripennis"
"ECU"	"Aglaeactis cupripennis"
"PER"	"Aglaeactis cupripennis"
"BOL"	"Aglaeactis pamela"
"VEN"	"Aglaiocercus berlepschi"
"CLM"	"Aglaiocercus coelestis"
"ECU"	"Aglaiocercus coelestis"
"BOL"	"Aglaiocercus kingi"
"CLM"	"Aglaiocercus kingi"
"ECU"	"Aglaiocercus kingi"
"PER"	"Aglaiocercus kingi"
"VEN"	"Aglaiocercus kingi"
"AGW"	"Agriornis albicauda"
"BOL"	"Agriornis albicauda"
"CLN"	"Agriornis albicauda"
"ECU"	"Agriornis albicauda"
"PER"	"Agriornis albicauda"
"AGS"	"Agriornis lividus"
"AGW"	"Agriornis lividus"
"CLC"	"Agriornis lividus"
"CLN"	"Agriornis lividus"
"CLS"	"Agriornis lividus"
"AGE"	"Agriornis micropterus"
"AGS"	"Agriornis micropterus"
"AGE"	"Agriornis montanus"
"AGS"	"Agriornis montanus"
"AGW"	"Agriornis montanus"
"BOL"	"Agriornis montanus"
"CLC"	"Agriornis montanus"
"CLM"	"Agriornis montanus"
"CLN"	"Agriornis montanus"
"CLS"	"Agriornis montanus"
"ECU"	"Agriornis montanus"
"PER"	"Agriornis montanus"
"AGE"	"Agriornis murinus"
"AGS"	"Agriornis murinus"
"AGW"	"Agriornis murinus"
"NWG"	"Ailuroedus buccoides"
"NSW"	"Ailuroedus crassirostris"
"QLD"	"Ailuroedus crassirostris"
"LSI"	"Ailuroedus melanotis"
"NWG"	"Ailuroedus melanotis"
"QLD"	"Ailuroedus melanotis"
"MXC"	"Aimophila notosticta"
"MXS"	"Aimophila notosticta"
"COS"	"Aimophila rufescens"
"ELS"	"Aimophila rufescens"
"GUA"	"Aimophila rufescens"
"HON"	"Aimophila rufescens"
"MXC"	"Aimophila rufescens"
"MXE"	"Aimophila rufescens"
"MXG"	"Aimophila rufescens"
"MXN"	"Aimophila rufescens"
"MXS"	"Aimophila rufescens"
"MXT"	"Aimophila rufescens"
"NIC"	"Aimophila rufescens"
"ARI"	"Aimophila ruficeps"
"ARK"	"Aimophila ruficeps"
"CAL"	"Aimophila ruficeps"
"COL"	"Aimophila ruficeps"
"KAN"	"Aimophila ruficeps"
"MXC"	"Aimophila ruficeps"
"MXE"	"Aimophila ruficeps"
"MXG"	"Aimophila ruficeps"
"MXN"	"Aimophila ruficeps"
"MXS"	"Aimophila ruficeps"
"NEV"	"Aimophila ruficeps"
"NWM"	"Aimophila ruficeps"
"OKL"	"Aimophila ruficeps"
"TEX"	"Aimophila ruficeps"
"UTA"	"Aimophila ruficeps"
"AMU"	"Aix galericulata"
"CHI"	"Aix galericulata"
"CHM"	"Aix galericulata"
"JAP"	"Aix galericulata"
"KHA"	"Aix galericulata"
"KOR"	"Aix galericulata"
"KUR"	"Aix galericulata"
"NNS"	"Aix galericulata"
"PRM"	"Aix galericulata"
"SAK"	"Aix galericulata"
"TAI"	"Aix galericulata"
"ABT"	"Aix sponsa"
"ALA"	"Aix sponsa"
"ARK"	"Aix sponsa"
"BRC"	"Aix sponsa"
"CAL"	"Aix sponsa"
"CNT"	"Aix sponsa"
"COL"	"Aix sponsa"
"CUB"	"Aix sponsa"
"DEL"	"Aix sponsa"
"FLA"	"Aix sponsa"
"GEO"	"Aix sponsa"
"IDA"	"Aix sponsa"
"ILL"	"Aix sponsa"
"INI"	"Aix sponsa"
"IOW"	"Aix sponsa"
"KAN"	"Aix sponsa"
"KTY"	"Aix sponsa"
"LOU"	"Aix sponsa"
"MAI"	"Aix sponsa"
"MAN"	"Aix sponsa"
"MAS"	"Aix sponsa"
"MIC"	"Aix sponsa"
"MIN"	"Aix sponsa"
"MNT"	"Aix sponsa"
"MRY"	"Aix sponsa"
"MSI"	"Aix sponsa"
"MSO"	"Aix sponsa"
"NBR"	"Aix sponsa"
"NCA"	"Aix sponsa"
"NDA"	"Aix sponsa"
"NEB"	"Aix sponsa"
"NEV"	"Aix sponsa"
"NSC"	"Aix sponsa"
"NWH"	"Aix sponsa"
"NWJ"	"Aix sponsa"
"NWY"	"Aix sponsa"
"OHI"	"Aix sponsa"
"OKL"	"Aix sponsa"
"ONT"	"Aix sponsa"
"ORE"	"Aix sponsa"
"PEI"	"Aix sponsa"
"PEN"	"Aix sponsa"
"QUE"	"Aix sponsa"
"RHO"	"Aix sponsa"
"SAS"	"Aix sponsa"
"SCA"	"Aix sponsa"
"SDA"	"Aix sponsa"
"TEN"	"Aix sponsa"
"TEX"	"Aix sponsa"
"UTA"	"Aix sponsa"
"VER"	"Aix sponsa"
"VRG"	"Aix sponsa"
"WAS"	"Aix sponsa"
"WDC"	"Aix sponsa"
"WIS"	"Aix sponsa"
"WVA"	"Aix sponsa"
"WYO"	"Aix sponsa"
"AFG"	"Alaemon alaudipes"
"ALG"	"Alaemon alaudipes"
"CHA"	"Alaemon alaudipes"
"CVI"	"Alaemon alaudipes"
"EGY"	"Alaemon alaudipes"
"ERI"	"Alaemon alaudipes"
"GST"	"Alaemon alaudipes"
"IND"	"Alaemon alaudipes"
"IRN"	"Alaemon alaudipes"
"IRQ"	"Alaemon alaudipes"
"KUW"	"Alaemon alaudipes"
"LBS"	"Alaemon alaudipes"
"LBY"	"Alaemon alaudipes"
"MLI"	"Alaemon alaudipes"
"MOR"	"Alaemon alaudipes"
"MTN"	"Alaemon alaudipes"
"NGR"	"Alaemon alaudipes"
"OMA"	"Alaemon alaudipes"
"PAK"	"Alaemon alaudipes"
"PAL"	"Alaemon alaudipes"
"SAU"	"Alaemon alaudipes"
"SEN"	"Alaemon alaudipes"
"SIN"	"Alaemon alaudipes"
"SOM"	"Alaemon alaudipes"
"SUD"	"Alaemon alaudipes"
"TUN"	"Alaemon alaudipes"
"WHM"	"Alaemon alaudipes"
"WSA"	"Alaemon alaudipes"
"YEM"	"Alaemon alaudipes"
"SOM"	"Alaemon hamertoni"
"AFG"	"Alauda arvensis"
"ALB"	"Alauda arvensis"
"ALG"	"Alauda arvensis"
"ALT"	"Alauda arvensis"
"AMU"	"Alauda arvensis"
"AUT"	"Alauda arvensis"
"BAL"	"Alauda arvensis"
"BGM"	"Alauda arvensis"
"BLR"	"Alauda arvensis"
"BLT"	"Alauda arvensis"
"BRY"	"Alauda arvensis"
"BUL"	"Alauda arvensis"
"CHC"	"Alauda arvensis"
"CHI"	"Alauda arvensis"
"CHM"	"Alauda arvensis"
"CHN"	"Alauda arvensis"
"CHQ"	"Alauda arvensis"
"CHS"	"Alauda arvensis"
"CHT"	"Alauda arvensis"
"CHX"	"Alauda arvensis"
"COR"	"Alauda arvensis"
"CTA"	"Alauda arvensis"
"CYP"	"Alauda arvensis"
"CZE"	"Alauda arvensis"
"DEN"	"Alauda arvensis"
"EAI"	"Alauda arvensis"
"EGY"	"Alauda arvensis"
"FIN"	"Alauda arvensis"
"FOR"	"Alauda arvensis"
"FRA"	"Alauda arvensis"
"GER"	"Alauda arvensis"
"GRB"	"Alauda arvensis"
"GRC"	"Alauda arvensis"
"GST"	"Alauda arvensis"
"HUN"	"Alauda arvensis"
"IND"	"Alauda arvensis"
"IRE"	"Alauda arvensis"
"IRK"	"Alauda arvensis"
"IRN"	"Alauda arvensis"
"IRQ"	"Alauda arvensis"
"ITA"	"Alauda arvensis"
"KAM"	"Alauda arvensis"
"KAZ"	"Alauda arvensis"
"KGZ"	"Alauda arvensis"
"KHA"	"Alauda arvensis"
"KOR"	"Alauda arvensis"
"KRA"	"Alauda arvensis"
"KRI"	"Alauda arvensis"
"KRY"	"Alauda arvensis"
"KUR"	"Alauda arvensis"
"KUW"	"Alauda arvensis"
"LBS"	"Alauda arvensis"
"LBY"	"Alauda arvensis"
"MAG"	"Alauda arvensis"
"MON"	"Alauda arvensis"
"MOR"	"Alauda arvensis"
"NCS"	"Alauda arvensis"
"NET"	"Alauda arvensis"
"NOR"	"Alauda arvensis"
"NZS"	"Alauda arvensis"
"OMA"	"Alauda arvensis"
"PAK"	"Alauda arvensis"
"PAL"	"Alauda arvensis"
"POL"	"Alauda arvensis"
"POR"	"Alauda arvensis"
"PRM"	"Alauda arvensis"
"ROM"	"Alauda arvensis"
"RUC"	"Alauda arvensis"
"RUE"	"Alauda arvensis"
"RUN"	"Alauda arvensis"
"RUS"	"Alauda arvensis"
"RUW"	"Alauda arvensis"
"SAK"	"Alauda arvensis"
"SAR"	"Alauda arvensis"
"SAU"	"Alauda arvensis"
"SIC"	"Alauda arvensis"
"SIN"	"Alauda arvensis"
"SPA"	"Alauda arvensis"
"SWE"	"Alauda arvensis"
"SWI"	"Alauda arvensis"
"TCS"	"Alauda arvensis"
"TKM"	"Alauda arvensis"
"TUE"	"Alauda arvensis"
"TUN"	"Alauda arvensis"
"TUR"	"Alauda arvensis"
"TVA"	"Alauda arvensis"
"TZK"	"Alauda arvensis"
"UKR"	"Alauda arvensis"
"UZB"	"Alauda arvensis"
"WHM"	"Alauda arvensis"
"WSA"	"Alauda arvensis"
"WSB"	"Alauda arvensis"
"YAK"	"Alauda arvensis"
"YUG"	"Alauda arvensis"
"AFG"	"Alauda gulgula"
"ASS"	"Alauda gulgula"
"BAN"	"Alauda gulgula"
"CBD"	"Alauda gulgula"
"CHC"	"Alauda gulgula"
"CHH"	"Alauda gulgula"
"CHI"	"Alauda gulgula"
"CHN"	"Alauda gulgula"
"CHQ"	"Alauda gulgula"
"CHS"	"Alauda gulgula"
"CHT"	"Alauda gulgula"
"CHX"	"Alauda gulgula"
"EHM"	"Alauda gulgula"
"IND"	"Alauda gulgula"
"IRN"	"Alauda gulgula"
"KAZ"	"Alauda gulgula"
"KGZ"	"Alauda gulgula"
"LAO"	"Alauda gulgula"
"LDV"	"Alauda gulgula"
"MYA"	"Alauda gulgula"
"NEP"	"Alauda gulgula"
"PAK"	"Alauda gulgula"
"PHI"	"Alauda gulgula"
"SCS"	"Alauda gulgula"
"SRL"	"Alauda gulgula"
"TAI"	"Alauda gulgula"
"THA"	"Alauda gulgula"
"TKM"	"Alauda gulgula"
"TZK"	"Alauda gulgula"
"UZB"	"Alauda gulgula"
"VIE"	"Alauda gulgula"
"WHM"	"Alauda gulgula"
"JAP"	"Alauda japonica"
"KUR"	"Alauda japonica"
"NNS"	"Alauda japonica"
"SAK"	"Alauda japonica"
"DEN"	"Alca torda"
"FIN"	"Alca torda"
"FOR"	"Alca torda"
"FRA"	"Alca torda"
"GER"	"Alca torda"
"GNL"	"Alca torda"
"GRB"	"Alca torda"
"ICE"	"Alca torda"
"IRE"	"Alca torda"
"LAB"	"Alca torda"
"MAI"	"Alca torda"
"NBR"	"Alca torda"
"NFL"	"Alca torda"
"NOR"	"Alca torda"
"NSC"	"Alca torda"
"NUN"	"Alca torda"
"QUE"	"Alca torda"
"RUN"	"Alca torda"
"SVA"	"Alca torda"
"SWE"	"Alca torda"
"PHI"	"Alcedo argentata"
"AFG"	"Alcedo atthis"
"ALB"	"Alcedo atthis"
"ALG"	"Alcedo atthis"
"ALT"	"Alcedo atthis"
"AMU"	"Alcedo atthis"
"AND"	"Alcedo atthis"
"ASS"	"Alcedo atthis"
"AUT"	"Alcedo atthis"
"BAN"	"Alcedo atthis"
"BGM"	"Alcedo atthis"
"BIS"	"Alcedo atthis"
"BLR"	"Alcedo atthis"
"BLT"	"Alcedo atthis"
"BRY"	"Alcedo atthis"
"BUL"	"Alcedo atthis"
"CBD"	"Alcedo atthis"
"CHC"	"Alcedo atthis"
"CHH"	"Alcedo atthis"
"CHI"	"Alcedo atthis"
"CHM"	"Alcedo atthis"
"CHN"	"Alcedo atthis"
"CHS"	"Alcedo atthis"
"CHT"	"Alcedo atthis"
"CHX"	"Alcedo atthis"
"COR"	"Alcedo atthis"
"CTA"	"Alcedo atthis"
"CZE"	"Alcedo atthis"
"DEN"	"Alcedo atthis"
"EAI"	"Alcedo atthis"
"EHM"	"Alcedo atthis"
"FIN"	"Alcedo atthis"
"FRA"	"Alcedo atthis"
"GER"	"Alcedo atthis"
"GRB"	"Alcedo atthis"
"GRC"	"Alcedo atthis"
"HUN"	"Alcedo atthis"
"IND"	"Alcedo atthis"
"IRE"	"Alcedo atthis"
"IRK"	"Alcedo atthis"
"IRN"	"Alcedo atthis"
"IRQ"	"Alcedo atthis"
"ITA"	"Alcedo atthis"
"JAP"	"Alcedo atthis"
"JAW"	"Alcedo atthis"
"KAZ"	"Alcedo atthis"
"KGZ"	"Alcedo atthis"
"KHA"	"Alcedo atthis"
"KOR"	"Alcedo atthis"
"KRA"	"Alcedo atthis"
"KRY"	"Alcedo atthis"
"KUR"	"Alcedo atthis"
"LAO"	"Alcedo atthis"
"LDV"	"Alcedo atthis"
"LSI"	"Alcedo atthis"
"MLY"	"Alcedo atthis"
"MOL"	"Alcedo atthis"
"MON"	"Alcedo atthis"
"MOR"	"Alcedo atthis"
"MYA"	"Alcedo atthis"
"NCB"	"Alcedo atthis"
"NCS"	"Alcedo atthis"
"NEP"	"Alcedo atthis"
"NET"	"Alcedo atthis"
"NNS"	"Alcedo atthis"
"NOR"	"Alcedo atthis"
"NWG"	"Alcedo atthis"
"PAK"	"Alcedo atthis"
"POL"	"Alcedo atthis"
"POR"	"Alcedo atthis"
"PRM"	"Alcedo atthis"
"ROM"	"Alcedo atthis"
"RUC"	"Alcedo atthis"
"RUE"	"Alcedo atthis"
"RUN"	"Alcedo atthis"
"RUS"	"Alcedo atthis"
"RUW"	"Alcedo atthis"
"SAK"	"Alcedo atthis"
"SAR"	"Alcedo atthis"
"SCS"	"Alcedo atthis"
"SIC"	"Alcedo atthis"
"SOL"	"Alcedo atthis"
"SPA"	"Alcedo atthis"
"SRL"	"Alcedo atthis"
"SUL"	"Alcedo atthis"
"SWE"	"Alcedo atthis"
"SWI"	"Alcedo atthis"
"TAI"	"Alcedo atthis"
"TCS"	"Alcedo atthis"
"THA"	"Alcedo atthis"
"TKM"	"Alcedo atthis"
"TUE"	"Alcedo atthis"
"TUN"	"Alcedo atthis"
"TUR"	"Alcedo atthis"
"TVA"	"Alcedo atthis"
"TZK"	"Alcedo atthis"
"UKR"	"Alcedo atthis"
"UZB"	"Alcedo atthis"
"VIE"	"Alcedo atthis"
"WHM"	"Alcedo atthis"
"WSB"	"Alcedo atthis"
"YAK"	"Alcedo atthis"
"YUG"	"Alcedo atthis"
"BIS"	"Alcedo azurea"
"LSI"	"Alcedo azurea"
"MOL"	"Alcedo azurea"
"NSW"	"Alcedo azurea"
"NTA"	"Alcedo azurea"
"NWG"	"Alcedo azurea"
"QLD"	"Alcedo azurea"
"SOA"	"Alcedo azurea"
"TAS"	"Alcedo azurea"
"VIC"	"Alcedo azurea"
"WAU"	"Alcedo azurea"
"JAW"	"Alcedo coerulescens"
"LSI"	"Alcedo coerulescens"
"SUM"	"Alcedo coerulescens"
"ANG"	"Alcedo cristata"
"BEN"	"Alcedo cristata"
"BKN"	"Alcedo cristata"
"BOT"	"Alcedo cristata"
"BUR"	"Alcedo cristata"
"CAB"	"Alcedo cristata"
"CAF"	"Alcedo cristata"
"CHA"	"Alcedo cristata"
"CMN"	"Alcedo cristata"
"CON"	"Alcedo cristata"
"CPP"	"Alcedo cristata"
"CPV"	"Alcedo cristata"
"DJI"	"Alcedo cristata"
"EQG"	"Alcedo cristata"
"ERI"	"Alcedo cristata"
"ETH"	"Alcedo cristata"
"GAB"	"Alcedo cristata"
"GAM"	"Alcedo cristata"
"GGI"	"Alcedo cristata"
"GHA"	"Alcedo cristata"
"GNB"	"Alcedo cristata"
"GUI"	"Alcedo cristata"
"IVO"	"Alcedo cristata"
"KEN"	"Alcedo cristata"
"LBR"	"Alcedo cristata"
"LES"	"Alcedo cristata"
"MLI"	"Alcedo cristata"
"MLW"	"Alcedo cristata"
"MOZ"	"Alcedo cristata"
"MTN"	"Alcedo cristata"
"NAM"	"Alcedo cristata"
"NAT"	"Alcedo cristata"
"NGA"	"Alcedo cristata"
"NGR"	"Alcedo cristata"
"OFS"	"Alcedo cristata"
"RWA"	"Alcedo cristata"
"SEN"	"Alcedo cristata"
"SIE"	"Alcedo cristata"
"SOM"	"Alcedo cristata"
"SUD"	"Alcedo cristata"
"SWZ"	"Alcedo cristata"
"TAN"	"Alcedo cristata"
"TOG"	"Alcedo cristata"
"TVL"	"Alcedo cristata"
"UGA"	"Alcedo cristata"
"ZAI"	"Alcedo cristata"
"ZAM"	"Alcedo cristata"
"ZIM"	"Alcedo cristata"
"PHI"	"Alcedo cyanopectus"
"BOR"	"Alcedo euryzona"
"MLY"	"Alcedo euryzona"
"MYA"	"Alcedo euryzona"
"SUM"	"Alcedo euryzona"
"THA"	"Alcedo euryzona"
"ASS"	"Alcedo hercules"
"BAN"	"Alcedo hercules"
"CHC"	"Alcedo hercules"
"CHH"	"Alcedo hercules"
"CHS"	"Alcedo hercules"
"EHM"	"Alcedo hercules"
"IND"	"Alcedo hercules"
"LAO"	"Alcedo hercules"
"MYA"	"Alcedo hercules"
"NEP"	"Alcedo hercules"
"THA"	"Alcedo hercules"
"VIE"	"Alcedo hercules"
"ANG"	"Alcedo leucogaster"
"BEN"	"Alcedo leucogaster"
"CAB"	"Alcedo leucogaster"
"CAF"	"Alcedo leucogaster"
"CMN"	"Alcedo leucogaster"
"CON"	"Alcedo leucogaster"
"EQG"	"Alcedo leucogaster"
"GAB"	"Alcedo leucogaster"
"GGI"	"Alcedo leucogaster"
"GHA"	"Alcedo leucogaster"
"GUI"	"Alcedo leucogaster"
"IVO"	"Alcedo leucogaster"
"LBR"	"Alcedo leucogaster"
"MLI"	"Alcedo leucogaster"
"NGA"	"Alcedo leucogaster"
"SIE"	"Alcedo leucogaster"
"TAN"	"Alcedo leucogaster"
"UGA"	"Alcedo leucogaster"
"ZAI"	"Alcedo leucogaster"
"AND"	"Alcedo meninting"
"ASS"	"Alcedo meninting"
"BAN"	"Alcedo meninting"
"BOR"	"Alcedo meninting"
"CBD"	"Alcedo meninting"
"CHC"	"Alcedo meninting"
"EHM"	"Alcedo meninting"
"IND"	"Alcedo meninting"
"JAW"	"Alcedo meninting"
"LAO"	"Alcedo meninting"
"LSI"	"Alcedo meninting"
"MLY"	"Alcedo meninting"
"MOL"	"Alcedo meninting"
"MYA"	"Alcedo meninting"
"NCB"	"Alcedo meninting"
"NEP"	"Alcedo meninting"
"PHI"	"Alcedo meninting"
"SRL"	"Alcedo meninting"
"SUL"	"Alcedo meninting"
"SUM"	"Alcedo meninting"
"THA"	"Alcedo meninting"
"VIE"	"Alcedo meninting"
"BIS"	"Alcedo pusilla"
"LSI"	"Alcedo pusilla"
"MOL"	"Alcedo pusilla"
"NTA"	"Alcedo pusilla"
"NWG"	"Alcedo pusilla"
"QLD"	"Alcedo pusilla"
"SOL"	"Alcedo pusilla"
"ANG"	"Alcedo quadribrachys"
"BEN"	"Alcedo quadribrachys"
"BKN"	"Alcedo quadribrachys"
"CAB"	"Alcedo quadribrachys"
"CAF"	"Alcedo quadribrachys"
"CMN"	"Alcedo quadribrachys"
"CON"	"Alcedo quadribrachys"
"EQG"	"Alcedo quadribrachys"
"GAB"	"Alcedo quadribrachys"
"GAM"	"Alcedo quadribrachys"
"GHA"	"Alcedo quadribrachys"
"GNB"	"Alcedo quadribrachys"
"GUI"	"Alcedo quadribrachys"
"IVO"	"Alcedo quadribrachys"
"KEN"	"Alcedo quadribrachys"
"LBR"	"Alcedo quadribrachys"
"MLI"	"Alcedo quadribrachys"
"NGA"	"Alcedo quadribrachys"
"RWA"	"Alcedo quadribrachys"
"SEN"	"Alcedo quadribrachys"
"SIE"	"Alcedo quadribrachys"
"SUD"	"Alcedo quadribrachys"
"TAN"	"Alcedo quadribrachys"
"TOG"	"Alcedo quadribrachys"
"UGA"	"Alcedo quadribrachys"
"ZAI"	"Alcedo quadribrachys"
"ZAM"	"Alcedo quadribrachys"
"ANG"	"Alcedo semitorquata"
"BOT"	"Alcedo semitorquata"
"BUR"	"Alcedo semitorquata"
"CPP"	"Alcedo semitorquata"
"CPV"	"Alcedo semitorquata"
"ERI"	"Alcedo semitorquata"
"ETH"	"Alcedo semitorquata"
"KEN"	"Alcedo semitorquata"
"MLW"	"Alcedo semitorquata"
