"LEVEL_3_CO"	"SpecName"
"SWZ"	"Accipiter badius"
"TAN"	"Accipiter badius"
"THA"	"Accipiter badius"
"TKM"	"Accipiter badius"
"TOG"	"Accipiter badius"
"TVL"	"Accipiter badius"
"TZK"	"Accipiter badius"
"UGA"	"Accipiter badius"
"UZB"	"Accipiter badius"
"VIE"	"Accipiter badius"
"WHM"	"Accipiter badius"
"YEM"	"Accipiter badius"
"ZAI"	"Accipiter badius"
"ZAM"	"Accipiter badius"
"ZIM"	"Accipiter badius"
"AGE"	"Accipiter bicolor"
"AGS"	"Accipiter bicolor"
"AGW"	"Accipiter bicolor"
"BLZ"	"Accipiter bicolor"
"BOL"	"Accipiter bicolor"
"BZC"	"Accipiter bicolor"
"BZE"	"Accipiter bicolor"
"BZL"	"Accipiter bicolor"
"BZN"	"Accipiter bicolor"
"BZS"	"Accipiter bicolor"
"CLC"	"Accipiter bicolor"
"CLM"	"Accipiter bicolor"
"CLS"	"Accipiter bicolor"
"COS"	"Accipiter bicolor"
"ECU"	"Accipiter bicolor"
"FRG"	"Accipiter bicolor"
"GUA"	"Accipiter bicolor"
"GUY"	"Accipiter bicolor"
"HON"	"Accipiter bicolor"
"MXC"	"Accipiter bicolor"
"MXE"	"Accipiter bicolor"
"MXG"	"Accipiter bicolor"
"MXS"	"Accipiter bicolor"
"MXT"	"Accipiter bicolor"
"NIC"	"Accipiter bicolor"
"PAN"	"Accipiter bicolor"
"PAR"	"Accipiter bicolor"
"PER"	"Accipiter bicolor"
"SUR"	"Accipiter bicolor"
"URU"	"Accipiter bicolor"
"VEN"	"Accipiter bicolor"
"BIS"	"Accipiter brachyurus"
"ALB"	"Accipiter brevipes"
"BUL"	"Accipiter brevipes"
"EAI"	"Accipiter brevipes"
"GRC"	"Accipiter brevipes"
"KAZ"	"Accipiter brevipes"
"ROM"	"Accipiter brevipes"
"RUC"	"Accipiter brevipes"
"RUS"	"Accipiter brevipes"
"TUE"	"Accipiter brevipes"
"TUR"	"Accipiter brevipes"
"YUG"	"Accipiter brevipes"
"NCB"	"Accipiter butleri"
"ANG"	"Accipiter castanilius"
"CAB"	"Accipiter castanilius"
"CAF"	"Accipiter castanilius"
"CMN"	"Accipiter castanilius"
"CON"	"Accipiter castanilius"
"EQG"	"Accipiter castanilius"
"GAB"	"Accipiter castanilius"
"GGI"	"Accipiter castanilius"
"NGA"	"Accipiter castanilius"
