family,lineage,order_n,genera_n,species,geo_distribution,geolog_age,bird_flower,bird_fruit,bat_flower,bat_fruit,primate_fruit
Peneaceae,Rosid,Myrtales,9,29,Africa,NA,1,0,0,0,0
Phytolaccaceae,Basal eudicot,Caryophyllales,18,65,Pantropical,21,0,1,0,0,0
Piperaceae,Basal angiosperm,Piperales,5,"3,600",Pantropical,96,0,1,0,1,0
Pittosporaceae,Asterid,Apiales,9,200,"Africa, Asia, Australasia",66,0,1,0,0,0
Polygonaceae,Basal eudicot,Caryophyllales,43,"1,100","Neotropical, Asia, Australasia",37,0,1,0,0,0
Proteaceae,Basal eudicot,Proteales,80,"1,600",Pantropical,113,1,1,1,0,0
Ranunculaceae,Basal eudicot,Ranunculales,62,"2,525",Pantropical,84,1,0,0,0,0
Rhamnaceae,Rosid,Rosales,50,900,Pantropical,62,0,1,0,1,0
Rhizophoraceae,Rosid,Malpighiales,16,149,Pantropical,49,1,0,0,0,0
Rosaceae,Rosid,Rosales,95,"2,830",Pantropical,76,1,1,0,1,1
Rubiaceae,Asterid,Gentianales,600,"10,000",Pantropical,78,1,1,1,1,1
Rutaceae,Rosid,Sapindales,161,"1,815",Pantropical,47,1,1,0,0,1
Salicaceae,Rosid,Malpighiales,55,"1,010",nearly cosmopolitan,NA,1,0,1,0,0
Santalaceae,Basal eudicot,Santalales,44,935,Pantropical,53,0,1,0,0,0
Sapindaceae,Rosid,Sapindales,135,"1,580",Pantropical,56,0,1,0,1,1
Sapotaceae,Asterid,Ericales,53,975,Pantropical,102,0,1,1,1,1
Saxifragaceae,Basal eudicot,Saxifragales,29,630,Pantropical,69,0,1,0,0,0
Scrophulariaceae,Asterid,Lamiales,65,"1,700",Pantropical,76,1,1,0,0,0
Simaroubaceae,Rosid,Sapindales,19,95,Pantropical,40,0,1,0,0,1
Smilacaceae,Monocot,Liliales,2,315,Pantropical,85,0,1,0,0,0
Solanaceae,Asterid,Solanales,102,"2,460",Pantropical,88,1,1,1,1,0
Staphyleaceae,Rosid,Crossosomatales,2,45,"Neotropical, Asia",62,0,1,0,0,0
Strelitziaceae,Monocot,Zingiberales,3,7,"Neotropical, Africa",70,1,1,1,0,0
Taccaceae,Monocot,Dioscoriales,1,12,Pantropical,NA,0,1,0,0,0
Theaceae,Asterid,Ericales,7,195,Pantropical,103,1,1,0,0,0
Ulmaceae,Rosid,Rosales,6,35,Pantropical,55,0,1,0,0,1
Urticaceae,Rosid,Rosales,54,2625,Pantropical,42,0,1,0,1,1
Verbenaceae,Asterid,Lamiales,30,1100,Pantropical,63,1,1,0,1,1
Vitaceae,Rosid,Vitales,14,850,Pantropical,117,0,1,0,0,0
Zingiberaceae,Monocot,Zingiberales,50,1200,Pantropical,70,1,1,0,0,0
Zygophyllaceae,Rosid,Zygophallales,26,285,Pantropical,70,0,1,0,0,0
